"valor","unidade_da_federacao","ano","cor_ou_raca","religiao"
1541,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
868,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
131,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
188,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
86,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
125,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
100,"Rondônia","2000","Sem declaração","Outras cristãs"
77,"Rondônia","2000","Sem declaração","Outras cristãs"
22,"Rondônia","2000","Sem declaração","Evangélica de origem pentecostal"
140,"Rondônia","2000","Sem declaração","Outras cristãs"
146,"Rondônia","2000","Sem declaração","Outras cristãs"
146,"Rondônia","2000","Sem declaração","Outras cristãs"
92,"Rondônia","2000","Sem declaração","Outras cristãs"
133,"Rondônia","2000","Sem declaração","Outras Religiões"
11,"Rondônia","2000","Sem declaração","Outras Religiões"
11,"Rondônia","2000","Sem declaração","Outras Religiões"
13,"Rondônia","2000","Sem declaração","Outras Religiões"
2236,"Rondônia","2000","Sem declaração","Sem religião"
26,"Rondônia","2000","Sem declaração","Outras Religiões"
467,"Rondônia","2000","Sem declaração","Outras Religiões"
114252,"Acre","2000","Branca","Católica"
510,"Acre","2000","Branca","Católica"
34,"Acre","2000","Branca","Católica"
36332,"Acre","2000","Branca","Outras Religiões"
11607,"Acre","2000","Branca","Evangélica de Missão"
232,"Acre","2000","Branca","Evangélica de Missão"
1170,"Acre","2000","Branca","Evangélica de Missão"
253,"Acre","2000","Branca","Evangélica de Missão"
7974,"Acre","2000","Branca","Evangélica de Missão"
29,"Acre","2000","Branca","Evangélica de Missão"
1950,"Acre","2000","Branca","Evangélica de Missão"
24014,"Acre","2000","Branca","Evangélica de origem pentecostal"
14713,"Acre","2000","Branca","Evangélica de origem pentecostal"
2367,"Acre","2000","Branca","Evangélica de origem pentecostal"
429,"Acre","2000","Branca","Evangélica de origem pentecostal"
3247,"Acre","2000","Branca","Evangélica de origem pentecostal"
1074,"Acre","2000","Branca","Evangélica de origem pentecostal"
79,"Acre","2000","Branca","Evangélica de origem pentecostal"
739,"Acre","2000","Branca","Evangélica de origem pentecostal"
11,"Acre","2000","Branca","Evangélica de origem pentecostal"
1355,"Acre","2000","Branca","Evangélica de origem pentecostal"
206,"Acre","2000","Branca","Outras cristãs"
136,"Acre","2000","Branca","Outras cristãs"
70,"Acre","2000","Branca","Evangélica de origem pentecostal"
505,"Acre","2000","Branca","Outras cristãs"
121,"Acre","2000","Branca","Outras cristãs"
121,"Acre","2000","Branca","Outras cristãs"
342,"Acre","2000","Branca","Outras cristãs"
860,"Acre","2000","Branca","Outras cristãs"
15,"Acre","2000","Branca","Outras Religiões"
703,"Acre","2000","Branca","Outras Religiões"
29,"Acre","2000","Branca","Outras Religiões"
12,"Acre","2000","Branca","Outras Religiões"
22,"Acre","2000","Branca","Outras Religiões"
186,"Acre","2000","Branca","Outras Religiões"
186,"Acre","2000","Branca","Outras Religiões"
29,"Acre","2000","Branca","Outras Religiões"
34,"Acre","2000","Branca","Outras Religiões"
390,"Acre","2000","Branca","Outras Religiões"
14475,"Acre","2000","Branca","Sem religião"
66,"Acre","2000","Branca","Outras Religiões"
137,"Acre","2000","Branca","Outras Religiões"
20633,"Acre","2000","Preta","Católica"
17,"Acre","2000","Preta","Católica"
4624,"Acre","2000","Preta","Outras Religiões"
1307,"Acre","2000","Preta","Evangélica de Missão"
8,"Acre","2000","Preta","Evangélica de Missão"
132,"Acre","2000","Preta","Evangélica de Missão"
916,"Acre","2000","Preta","Evangélica de Missão"
13,"Acre","2000","Preta","Evangélica de Missão"
238,"Acre","2000","Preta","Evangélica de Missão"
3264,"Acre","2000","Preta","Evangélica de origem pentecostal"
2234,"Acre","2000","Preta","Evangélica de origem pentecostal"
230,"Acre","2000","Preta","Evangélica de origem pentecostal"
32,"Acre","2000","Preta","Evangélica de origem pentecostal"
358,"Acre","2000","Preta","Evangélica de origem pentecostal"
107,"Acre","2000","Preta","Evangélica de origem pentecostal"
28,"Acre","2000","Preta","Evangélica de origem pentecostal"
118,"Acre","2000","Preta","Evangélica de origem pentecostal"
157,"Acre","2000","Preta","Evangélica de origem pentecostal"
6,"Acre","2000","Preta","Outras cristãs"
6,"Acre","2000","Preta","Evangélica de origem pentecostal"
47,"Acre","2000","Preta","Outras cristãs"
43,"Acre","2000","Preta","Outras cristãs"
43,"Acre","2000","Preta","Outras cristãs"
17,"Acre","2000","Preta","Outras cristãs"
56,"Acre","2000","Preta","Outras cristãs"
39,"Acre","2000","Preta","Outras Religiões"
16,"Acre","2000","Preta","Outras Religiões"
15,"Acre","2000","Preta","Outras Religiões"
15,"Acre","2000","Preta","Outras Religiões"
9,"Acre","2000","Preta","Outras Religiões"
9,"Acre","2000","Preta","Outras Religiões"
2565,"Acre","2000","Preta","Sem religião"
16,"Acre","2000","Preta","Outras Religiões"
24,"Acre","2000","Preta","Outras Religiões"
970,"Acre","2000","Amarela","Católica"
309,"Acre","2000","Amarela","Outras Religiões"
83,"Acre","2000","Amarela","Evangélica de Missão"
21,"Acre","2000","Amarela","Evangélica de Missão"
45,"Acre","2000","Amarela","Evangélica de Missão"
17,"Acre","2000","Amarela","Evangélica de Missão"
209,"Acre","2000","Amarela","Evangélica de origem pentecostal"
133,"Acre","2000","Amarela","Evangélica de origem pentecostal"
19,"Acre","2000","Amarela","Evangélica de origem pentecostal"
4,"Acre","2000","Amarela","Evangélica de origem pentecostal"
14,"Acre","2000","Amarela","Evangélica de origem pentecostal"
6,"Acre","2000","Amarela","Evangélica de origem pentecostal"
5,"Acre","2000","Amarela","Evangélica de origem pentecostal"
29,"Acre","2000","Amarela","Evangélica de origem pentecostal"
17,"Acre","2000","Amarela","Outras cristãs"
6,"Acre","2000","Amarela","Outras cristãs"
11,"Acre","2000","Amarela","Outras cristãs"
97,"Acre","2000","Amarela","Sem religião"
235932,"Acre","2000","Parda","Católica"
1467,"Acre","2000","Parda","Católica"
13,"Acre","2000","Parda","Católica"
70436,"Acre","2000","Parda","Outras Religiões"
17455,"Acre","2000","Parda","Evangélica de Missão"
79,"Acre","2000","Parda","Evangélica de Missão"
1766,"Acre","2000","Parda","Evangélica de Missão"
168,"Acre","2000","Parda","Evangélica de Missão"
11567,"Acre","2000","Parda","Evangélica de Missão"
265,"Acre","2000","Parda","Evangélica de Missão"
3611,"Acre","2000","Parda","Evangélica de Missão"
52122,"Acre","2000","Parda","Evangélica de origem pentecostal"
33023,"Acre","2000","Parda","Evangélica de origem pentecostal"
4065,"Acre","2000","Parda","Evangélica de origem pentecostal"
801,"Acre","2000","Parda","Evangélica de origem pentecostal"
7492,"Acre","2000","Parda","Evangélica de origem pentecostal"
2449,"Acre","2000","Parda","Evangélica de origem pentecostal"
129,"Acre","2000","Parda","Evangélica de origem pentecostal"
1757,"Acre","2000","Parda","Evangélica de origem pentecostal"
23,"Acre","2000","Parda","Evangélica de origem pentecostal"
2383,"Acre","2000","Parda","Evangélica de origem pentecostal"
187,"Acre","2000","Parda","Outras cristãs"
79,"Acre","2000","Parda","Outras cristãs"
108,"Acre","2000","Parda","Evangélica de origem pentecostal"
673,"Acre","2000","Parda","Outras cristãs"
504,"Acre","2000","Parda","Outras cristãs"
504,"Acre","2000","Parda","Outras cristãs"
562,"Acre","2000","Parda","Outras cristãs"
1303,"Acre","2000","Parda","Outras cristãs"
44,"Acre","2000","Parda","Outras Religiões"
805,"Acre","2000","Parda","Outras Religiões"
45,"Acre","2000","Parda","Outras Religiões"
8,"Acre","2000","Parda","Outras Religiões"
12,"Acre","2000","Parda","Outras Religiões"
237,"Acre","2000","Parda","Outras Religiões"
237,"Acre","2000","Parda","Outras Religiões"
61,"Acre","2000","Parda","Outras Religiões"
814,"Acre","2000","Parda","Outras Religiões"
34076,"Acre","2000","Parda","Sem religião"
162,"Acre","2000","Parda","Outras Religiões"
429,"Acre","2000","Parda","Outras Religiões"
4504,"Acre","2000","Indígena","Católica"
931,"Acre","2000","Indígena","Outras Religiões"
566,"Acre","2000","Indígena","Evangélica de Missão"
561,"Acre","2000","Indígena","Evangélica de Missão"
5,"Acre","2000","Indígena","Evangélica de Missão"
359,"Acre","2000","Indígena","Evangélica de origem pentecostal"
244,"Acre","2000","Indígena","Evangélica de origem pentecostal"
25,"Acre","2000","Indígena","Evangélica de origem pentecostal"
24,"Acre","2000","Indígena","Evangélica de origem pentecostal"
34,"Acre","2000","Indígena","Evangélica de origem pentecostal"
16,"Acre","2000","Indígena","Evangélica de origem pentecostal"
17,"Acre","2000","Indígena","Evangélica de origem pentecostal"
6,"Acre","2000","Indígena","Outras cristãs"
6,"Acre","2000","Indígena","Evangélica de origem pentecostal"
6,"Acre","2000","Indígena","Outras cristãs"
6,"Acre","2000","Indígena","Outras cristãs"
6,"Acre","2000","Indígena","Outras Religiões"
2524,"Acre","2000","Indígena","Sem religião"
38,"Acre","2000","Indígena","Outras Religiões"
3445,"Acre","2000","Sem declaração","Católica"
887,"Acre","2000","Sem declaração","Outras Religiões"
250,"Acre","2000","Sem declaração","Evangélica de Missão"
50,"Acre","2000","Sem declaração","Evangélica de Missão"
11,"Acre","2000","Sem declaração","Evangélica de Missão"
150,"Acre","2000","Sem declaração","Evangélica de Missão"
38,"Acre","2000","Sem declaração","Evangélica de Missão"
637,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
419,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
25,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
29,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
67,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
29,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
15,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
53,"Acre","2000","Sem declaração","Evangélica de origem pentecostal"
51,"Acre","2000","Sem declaração","Outras cristãs"
11,"Acre","2000","Sem declaração","Outras cristãs"
10,"Acre","2000","Sem declaração","Outras Religiões"
354,"Acre","2000","Sem declaração","Sem religião"
13,"Acre","2000","Sem declaração","Outras Religiões"
169,"Acre","2000","Sem declaração","Outras Religiões"
480970,"Amazonas","2000","Branca","Católica"
4878,"Amazonas","2000","Branca","Católica"
40,"Amazonas","2000","Branca","Católica"
143140,"Amazonas","2000","Branca","Outras Religiões"
44722,"Amazonas","2000","Branca","Evangélica de Missão"
279,"Amazonas","2000","Branca","Evangélica de Missão"
4059,"Amazonas","2000","Branca","Evangélica de Missão"
530,"Amazonas","2000","Branca","Evangélica de Missão"
22905,"Amazonas","2000","Branca","Evangélica de Missão"
153,"Amazonas","2000","Branca","Evangélica de Missão"
16760,"Amazonas","2000","Branca","Evangélica de Missão"
36,"Amazonas","2000","Branca","Outras Religiões"
87918,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
57214,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
2247,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
196,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
2940,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
13577,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
44,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
4677,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
226,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
6797,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
7491,"Amazonas","2000","Branca","Outras cristãs"
2698,"Amazonas","2000","Branca","Outras cristãs"
4793,"Amazonas","2000","Branca","Evangélica de origem pentecostal"
3009,"Amazonas","2000","Branca","Outras cristãs"
233,"Amazonas","2000","Branca","Outras cristãs"
157,"Amazonas","2000","Branca","Outras cristãs"
76,"Amazonas","2000","Branca","Outras Religiões"
1598,"Amazonas","2000","Branca","Outras cristãs"
4388,"Amazonas","2000","Branca","Outras cristãs"
30,"Amazonas","2000","Branca","Outras Religiões"
4660,"Amazonas","2000","Branca","Outras Religiões"
125,"Amazonas","2000","Branca","Outras Religiões"
38,"Amazonas","2000","Branca","Outras Religiões"
501,"Amazonas","2000","Branca","Outras Religiões"
51,"Amazonas","2000","Branca","Outras Religiões"
279,"Amazonas","2000","Branca","Outras Religiões"
172,"Amazonas","2000","Branca","Outras Religiões"
128,"Amazonas","2000","Branca","Outras Religiões"
44,"Amazonas","2000","Branca","Outras Religiões"
95,"Amazonas","2000","Branca","Outras Religiões"
74,"Amazonas","2000","Branca","Outras Religiões"
181,"Amazonas","2000","Branca","Outras Religiões"
371,"Amazonas","2000","Branca","Outras Religiões"
37319,"Amazonas","2000","Branca","Sem religião"
1336,"Amazonas","2000","Branca","Outras Religiões"
1239,"Amazonas","2000","Branca","Outras Religiões"
62574,"Amazonas","2000","Preta","Católica"
676,"Amazonas","2000","Preta","Católica"
17190,"Amazonas","2000","Preta","Outras Religiões"
4884,"Amazonas","2000","Preta","Evangélica de Missão"
12,"Amazonas","2000","Preta","Evangélica de Missão"
375,"Amazonas","2000","Preta","Evangélica de Missão"
13,"Amazonas","2000","Preta","Evangélica de Missão"
2471,"Amazonas","2000","Preta","Evangélica de Missão"
17,"Amazonas","2000","Preta","Evangélica de Missão"
1996,"Amazonas","2000","Preta","Evangélica de Missão"
11235,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
8337,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
270,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
10,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
310,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
944,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
475,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
891,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
760,"Amazonas","2000","Preta","Outras cristãs"
371,"Amazonas","2000","Preta","Outras cristãs"
390,"Amazonas","2000","Preta","Evangélica de origem pentecostal"
311,"Amazonas","2000","Preta","Outras cristãs"
14,"Amazonas","2000","Preta","Outras cristãs"
14,"Amazonas","2000","Preta","Outras cristãs"
85,"Amazonas","2000","Preta","Outras cristãs"
378,"Amazonas","2000","Preta","Outras cristãs"
104,"Amazonas","2000","Preta","Outras Religiões"
77,"Amazonas","2000","Preta","Outras Religiões"
51,"Amazonas","2000","Preta","Outras Religiões"
8,"Amazonas","2000","Preta","Outras Religiões"
28,"Amazonas","2000","Preta","Outras Religiões"
60,"Amazonas","2000","Preta","Outras Religiões"
60,"Amazonas","2000","Preta","Outras Religiões"
41,"Amazonas","2000","Preta","Outras Religiões"
20,"Amazonas","2000","Preta","Outras Religiões"
37,"Amazonas","2000","Preta","Outras Religiões"
5715,"Amazonas","2000","Preta","Sem religião"
221,"Amazonas","2000","Preta","Outras Religiões"
193,"Amazonas","2000","Preta","Outras Religiões"
6896,"Amazonas","2000","Amarela","Católica"
9,"Amazonas","2000","Amarela","Católica"
1147,"Amazonas","2000","Amarela","Outras Religiões"
430,"Amazonas","2000","Amarela","Evangélica de Missão"
7,"Amazonas","2000","Amarela","Evangélica de Missão"
9,"Amazonas","2000","Amarela","Evangélica de Missão"
319,"Amazonas","2000","Amarela","Evangélica de Missão"
5,"Amazonas","2000","Amarela","Evangélica de Missão"
90,"Amazonas","2000","Amarela","Evangélica de Missão"
619,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
352,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
64,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
17,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
125,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
11,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
51,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
62,"Amazonas","2000","Amarela","Outras cristãs"
62,"Amazonas","2000","Amarela","Evangélica de origem pentecostal"
36,"Amazonas","2000","Amarela","Outras cristãs"
8,"Amazonas","2000","Amarela","Outras cristãs"
8,"Amazonas","2000","Amarela","Outras cristãs"
11,"Amazonas","2000","Amarela","Outras cristãs"
18,"Amazonas","2000","Amarela","Outras cristãs"
39,"Amazonas","2000","Amarela","Outras Religiões"
156,"Amazonas","2000","Amarela","Outras Religiões"
101,"Amazonas","2000","Amarela","Outras Religiões"
14,"Amazonas","2000","Amarela","Outras Religiões"
88,"Amazonas","2000","Amarela","Outras Religiões"
679,"Amazonas","2000","Amarela","Sem religião"
17,"Amazonas","2000","Amarela","Outras Religiões"
261,"Amazonas","2000","Amarela","Outras Religiões"
1360036,"Amazonas","2000","Parda","Católica"
11254,"Amazonas","2000","Parda","Católica"
120,"Amazonas","2000","Parda","Católica"
396206,"Amazonas","2000","Parda","Outras Religiões"
112922,"Amazonas","2000","Parda","Evangélica de Missão"
33,"Amazonas","2000","Parda","Evangélica de Missão"
6000,"Amazonas","2000","Parda","Evangélica de Missão"
